win,lose,probability
Charlotte Hornets,Chicago Bulls,0.819787389
Indiana Pacers,Orlando Magic,0.54051558
Toronto Raptors,Atlanta Hawks,0.902769493
San Antonio Spurs,New York Knicks,0.951103702
Philadelphia 76ers,Miami Heat,0.750305184
Portland Trail Blazers,Cleveland Cavaliers,0.95549976
Los Angeles Lakers,Memphis Grizzlies,0.554385459
Milwaukee Bucks,Detroit Pistons,0.831083831
Utah Jazz,New Orleans Pelicans,0.757544663
Houston Rockets,Dallas Mavericks,0.814651701
Brooklyn Nets,New York Knicks,0.892430162
Sacramento Kings,Washington Wizards,0.513757766
Denver Nuggets,Phoenix Suns,0.966085019
Los Angeles Clippers,New Orleans Pelicans,0.732936062
Brooklyn Nets,Cleveland Cavaliers,0.889118402
Orlando Magic,Detroit Pistons,0.578189862
Indiana Pacers,Memphis Grizzlies,0.653428801
Minnesota Timberwolves,Atlanta Hawks,0.657337955
Boston Celtics,Sacramento Kings,0.741428424
Miami Heat,Charlotte Hornets,0.559584556
Toronto Raptors,Philadelphia 76ers,0.634601069
Portland Trail Blazers,Chicago Bulls,0.928087351
Milwaukee Bucks,Utah Jazz,0.697312531
San Antonio Spurs,Los Angeles Lakers,0.684738757
Golden State Warriors,Oklahoma City Thunder,0.6859616
Los Angeles Clippers,Dallas Mavericks,0.688544049
Denver Nuggets,Washington Wizards,0.837822109
Boston Celtics,Brooklyn Nets,0.71949905
Charlotte Hornets,Detroit Pistons,0.573126949
Orlando Magic,Cleveland Cavaliers,0.92156944
Utah Jazz,Indiana Pacers,0.534772083
Philadelphia 76ers,Sacramento Kings,0.810723549
Toronto Raptors,New York Knicks,0.970622983
Houston Rockets,Miami Heat,0.737959818
Los Angeles Clippers,Memphis Grizzlies,0.608211091
Milwaukee Bucks,Atlanta Hawks,0.914157512
San Antonio Spurs,Minnesota Timberwolves,0.774956939
Washington Wizards,Phoenix Suns,0.867002445
Los Angeles Lakers,New Orleans Pelicans,0.606801065
Portland Trail Blazers,Oklahoma City Thunder,0.573053925
Golden State Warriors,Chicago Bulls,0.951253989
Boston Celtics,Brooklyn Nets,0.624597121
Detroit Pistons,Charlotte Hornets,0.503557899
Toronto Raptors,Orlando Magic,0.70534783
Milwaukee Bucks,Cleveland Cavaliers,0.963154812
Philadelphia 76ers,New York Knicks,0.96332628
Indiana Pacers,Atlanta Hawks,0.800854363
Utah Jazz,Memphis Grizzlies,0.643242853
Golden State Warriors,Miami Heat,0.750865181
